ccn,provider,state,city,zip,address,owner,phone,nc_offer,pt_offer,ot_offer,sp_offer,ms_offer,hha_offer,certified_date,rating,certify_yrs,timely,drug_edu,fall_ck,depr_ck,flu_shot,pneu_shot,pain_ck,pain_tr,bedsore_tr,bedsore_ck,mov_rec,bed_rec,bath_rec,pain_rec,breath_rec,drug_use,er,adm,readm,re_er,er_cd,readm_cd,othr_cnt,dietn_cnt,aide_cnt,lpn_cnt,ocpt_cnt,phys_cnt,rn_cnt,scl_cnt,spch_cnt,income,male_65,female_65,lat,lng,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B19301_001E,county,state.1,tract
187047,KING'S DAUGHTERS' MED. CTR. HHA,KY,ASHLAND,41101,2025 CARTER AVENUE,Non - Profit Private,6064089700,Yes,Yes,Yes,Yes,Yes,Yes,1973-03-19 00:00:00,3.5,43,95.1,99.2,97.6,98.7,71.2,79.2,98.9,100.0,99.4,100.0,64.3,59.5,70.1,63.7,66.1,45.7,18.2,17.4,Worse Than Expected,Same As Expected,1,0,3.5,0.0,2.0,0.0,1.0,1.5,9.0,1.0,2.5,34039,411,408,38.5025537,-82.6805431,57,112,76,71,40,55,35,71,59,57,53,133,4279,34039,89,21,40100
147614,"ALLCARE HOME HEALTH, INC.",IL,LANSING,60438,1905 BERNICE ROAD  SUITE 1,Proprietary,7084180894,Yes,Yes,Yes,Yes,Yes,Yes,1995-04-25 00:00:00,2.5,21,87.1,98.8,100.0,98.8,49.2,66.3,100.0,100.0,100.0,98.8,49.3,37.1,59.0,63.5,47.4,62.6,9.0,18.1,Same As Expected,Same As Expected,1,1,4.0,0.0,1.0,0.0,0.0,0.0,2.25,0.2,0.0,34326,235,361,41.578704,-87.570955,3,35,85,49,21,42,66,62,48,104,35,46,2456,34326,31,17,827901
58142,ALTA VISTA HEALTH SERVICES,CA,COVINA,91723,"642 SOUTH SECOND AVENUE, SUITE A",Proprietary,6269182868,Yes,Yes,Yes,Yes,Yes,Yes,2002-10-28 00:00:00,3.5,13,90.8,97.5,98.5,93.9,78.8,75.0,99.4,96.5,100.0,98.2,61.9,53.6,62.8,76.0,77.3,38.8,17.3,9.9,Worse Than Expected,Same As Expected,1,0,0.0,0.0,0.5,3.5,3.0,6.0,3.25,1.25,0.0,24922,229,169,34.0779127,-117.8869935,35,80,18,0,35,61,44,34,0,25,38,28,5554,24922,37,6,406102
679383,CONCHO VALLEY HOME HEALTH CARE,TX,SAN ANGELO,76904,3103 SOUTHWEST BLVD SUITE B,Proprietary,3259448916,Yes,Yes,Yes,Yes,Yes,Yes,2003-12-03 00:00:00,3.0,12,94.7,99.2,100.0,100.0,76.8,78.5,100.0,100.0,100.0,99.2,65.2,61.0,57.6,52.9,44.3,40.6,12.8,13.7,Same As Expected,Same As Expected,1,1,0.0,0.0,1.0,4.5,0.0,0.0,3.0,0.0,0.0,25779,270,362,31.4338011,-100.4927248,54,60,46,44,59,7,72,105,61,76,48,0,4037,25779,451,48,1303
447538,AMEDISYS HOME CARE,TN,MEMPHIS,38119,"6263 POPLAR TOWERS, SUITE 1000",Proprietary,9017617112,Yes,Yes,Yes,Yes,Yes,Yes,1994-07-28 00:00:00,3.5,22,86.5,96.4,95.1,97.3,77.0,71.6,96.3,98.6,95.8,99.8,66.1,57.9,71.8,76.0,79.1,57.4,16.5,11.5,Same As Expected,Same As Expected,1,1,0.0,0.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,60642,108,108,35.1495343,-90.0489801,8,24,24,13,10,29,0,16,23,15,11,43,2431,60642,157,47,4200
397032,LOWER BUCKS HOSPITAL HOME HEALTH,PA,BRISTOL,19007,501 BATH RD,Proprietary,2157859273,Yes,Yes,Yes,Yes,Yes,Yes,1966-07-01 00:00:00,3.5,50,96.4,97.8,99.8,100.0,83.8,92.9,99.8,99.9,100.0,99.7,65.3,58.0,68.5,68.7,66.5,57.7,17.2,11.0,Same As Expected,Same As Expected,1,1,0.1,0.1,2.0,0.0,0.7,3.5,19.7,0.2,0.2,20983,304,415,40.1052731,-74.8673542,49,23,84,80,49,19,11,89,68,82,50,115,5219,20983,17,42,100303
459081,STAR CARE HOME HEALTH INC,TX,ODESSA,79761,620 N GRANT SUITE 100,Proprietary,4325807707,Yes,Yes,Yes,Yes,Yes,Yes,1997-01-08 00:00:00,2.5,19,85.1,96.4,98.5,98.7,73.8,82.6,99.3,99.8,99.1,97.9,59.2,43.9,60.1,61.8,52.5,49.9,16.5,14.7,Same As Expected,Same As Expected,1,1,7.0,0.0,7.0,12.0,0.0,1.0,7.5,0.0,0.0,19127,163,263,31.8500184,-102.3702215,15,33,27,23,32,33,0,47,22,84,50,60,3763,19127,135,48,3100
673143,SIGMAH HOME HEALTH SERVICES,TX,HOUSTON,77074,7322 SOUTHWEST FREEWAY SUITE 1950,Proprietary,7137710606,Yes,Yes,Yes,Yes,Yes,Yes,2005-03-01 00:00:00,2.5,11,94.7,98.9,99.6,99.6,58.9,75.7,99.6,100.0,100.0,99.6,51.1,46.3,54.1,69.6,51.0,38.5,11.5,12.7,Same As Expected,Same As Expected,1,1,0.0,0.0,4.5,4.5,0.0,0.0,8.0,0.0,0.0,14915,254,426,29.7018286,-95.5171323,60,39,56,35,57,7,23,73,31,51,78,170,5992,14915,201,48,432802
447276,NHC HOMECARE SPRINGFIELD,TN,SPRINGFIELD,37172,506 NORTHCREST DRIVE,Proprietary,6153840687,Yes,Yes,Yes,Yes,Yes,Yes,1984-01-31 00:00:00,3.0,32,94.3,99.5,99.9,97.6,85.6,87.5,99.9,99.9,99.9,99.9,61.3,53.6,64.9,61.9,60.8,53.5,14.0,11.3,Same As Expected,Same As Expected,1,1,0.0,0.0,2.5,7.5,3.5,14.0,13.0,2.0,2.0,22010,257,489,36.490922,-86.8770849,33,51,26,50,41,56,36,67,88,93,68,137,4614,22010,147,47,80402
47034,"VISITING NURSES AGENCY OF WESTERN ARKANSAS, INC",AR,FORT SMITH,72902,524 GARRISON AVENUE,Non - Profit Other,4797835550,Yes,No,No,No,No,Yes,1982-01-19 00:00:00,3.5,34,96.1,86.2,100.0,99.2,69.6,68.5,98.8,100.0,99.5,98.4,75.3,72.8,80.0,79.0,71.8,64.6,21.1,17.3,Same As Expected,Same As Expected,1,1,0.0,0.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,13041,113,86,35.3870753,-94.425679,3,22,37,26,25,0,5,21,35,3,3,19,2394,13041,131,5,300
747523,NEW LIFE HOME HEALTHCARE SERVICES,TX,WICHITA FALLS,76301,1106 TRAVIS ST STE 130,Proprietary,9407613223,Yes,Yes,Yes,Yes,Yes,Yes,2011-02-14 00:00:00,4.0,5,98.9,98.9,100.0,100.0,54.9,87.3,100.0,99.3,100.0,100.0,75.0,83.3,77.2,65.0,60.3,57.4,16.0,13.1,Same As Expected,Same As Expected,1,1,0.0,0.0,3.0,4.6,0.01,2.2,6.0,0.2,0.2,16082,106,77,33.9072462,-98.4915386,0,30,55,5,0,16,0,4,50,23,0,0,1374,16082,485,48,10100
397495,HEALTH CALLS,PA,WYOMISSING,19610,"1220 BROADCASTING ROAD, SUITE 202",Proprietary,6106852422,Yes,Yes,Yes,Yes,Yes,Yes,1990-08-20 00:00:00,4.0,26,99.5,99.4,99.9,100.0,89.9,94.6,99.9,100.0,100.0,99.9,68.6,64.3,65.8,75.8,69.6,46.8,16.5,12.9,Same As Expected,Same As Expected,1,1,0.0,0.0,0.04,1.0,1.0,5.32,8.41,0.09,0.05,33765,595,924,40.35057,-75.9875992,29,75,164,101,176,50,62,101,267,92,243,159,6119,33765,11,42,10903
747460,ST MARK HOME HEALTH CARE LLC,TX,SAN ANTONIO,78229,5545 FREDERICKSBURG RD SUITE 205,Proprietary,2103662352,Yes,Yes,Yes,No,No,No,2010-09-16 00:00:00,2.5,6,93.6,100.0,100.0,100.0,62.2,63.1,100.0,99.4,100.0,100.0,52.0,43.2,62.9,39.3,27.3,33.4,18.0,14.9,Same As Expected,Same As Expected,1,1,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,30065,296,331,29.5089119,-98.5658662,0,27,102,86,19,62,40,62,58,52,32,87,4095,30065,29,48,180701
109130,Y & S HOME HEALTH SERVICES INC,FL,MIAMI,33155,7430 SW 41ST ST STE 100,Proprietary,3052691094,Yes,Yes,Yes,Yes,Yes,Yes,2008-07-29 00:00:00,5.0,8,99.2,98.9,100.0,100.0,91.5,13.9,100.0,98.3,99.5,100.0,81.8,66.7,89.8,91.3,85.5,58.0,13.5,9.1,Same As Expected,Same As Expected,1,1,4.8,0.0,2.31,2.4,0.0,1.2,3.55,0.01,0.0,39933,610,641,25.7319741,-80.3155081,99,74,225,87,70,55,108,27,226,50,50,180,6701,39933,86,12,7702
59341,ACA HOME HEALTH CARE INC,CA,THOUSAND OAKS,91360,223 E THOUSAND OAKS BLVD STE 407,Proprietary,8054972773,Yes,Yes,Yes,Yes,Yes,Yes,2011-04-29 00:00:00,4.5,5,97.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.9,48.9,99.6,100.0,74.8,72.8,13.0,8.8,Same As Expected,Same As Expected,1,1,0.0,0.25,0.25,0.45,0.25,0.25,2.0,0.25,0.25,32293,209,443,34.1794905,-118.8726791,8,54,43,10,10,84,35,40,98,50,77,143,3973,32293,111,6,7000
347244,PHC HOME HEALTH,NC,CHARLOTTE,28209,1515 MOCKINGBIRD LANE STE 415A,Proprietary,7045226144,Yes,Yes,Yes,Yes,Yes,Yes,2010-05-25 00:00:00,3.0,6,95.2,99.0,100.0,88.3,70.8,68.1,94.9,94.3,89.4,100.0,55.2,61.1,60.3,68.8,60.3,54.3,16.6,15.8,Same As Expected,Same As Expected,1,1,0.0,0.0,1.2,0.0,1.54,5.11,12.31,0.12,0.29,40173,203,340,35.1674777,-80.8491003,12,0,51,101,24,15,68,24,98,87,29,34,4650,40173,119,37,3103
147843,"INSIGHT HEALTHCARE SERVICES, INC",IL,ITASCA,60143,"650 DEVON AVENUE, SUITE 190",Proprietary,6302858302,Yes,Yes,Yes,Yes,Yes,Yes,2005-11-18 00:00:00,3.5,10,90.0,91.1,100.0,96.7,42.7,41.1,93.3,100.0,100.0,100.0,72.3,42.4,84.7,96.3,78.4,47.0,17.3,14.0,Same As Expected,Same As Expected,1,1,0.0,0.0,4.0,1.0,0.0,0.0,8.0,0.5,0.0,41218,417,392,41.9924957,-88.0072102,110,95,120,41,33,18,54,64,110,42,45,77,5372,41218,43,17,840201
277093,PINTLER HOME HEALTH,MT,ANACONDA,59711,118 EAST SEVENTH ST STE 1A,Non - Profit Private,4065637023,Yes,Yes,Yes,Yes,Yes,Yes,2000-06-29 00:00:00,2.0,16,97.4,96.1,100.0,100.0,75.6,90.9,100.0,96.8,96.4,100.0,44.2,43.2,43.3,56.9,55.3,43.8,26.2,12.5,Same As Expected,Same As Expected,1,1,0.0,0.1,1.0,0.0,0.25,0.25,4.6,1.0,0.1,20686,210,303,46.12424,-112.9536447,32,41,61,27,32,17,52,48,37,55,94,17,2883,20686,23,30,300
497600,AT HOME CARE,VA,WILLIAMSBURG,23185,366 MCLAWS CIRCLE SUITE 2B,Proprietary,7572202112,Yes,Yes,Yes,Yes,Yes,Yes,2005-06-07 00:00:00,4.0,11,99.2,98.6,99.8,99.2,57.2,68.9,100.0,100.0,100.0,100.0,65.1,65.1,70.2,78.1,68.8,54.4,14.0,14.0,Better Than Expected,Same As Expected,1,1,0.0,0.0,0.25,1.0,0.25,4.75,5.5,0.25,1.0,72442,893,1065,37.245623,-76.664738,87,223,187,194,89,113,89,251,159,156,278,132,5464,72442,95,51,80101
337150,ORANGE CO PUBLIC HEALTH CHHA,NY,GOSHEN,10924,124 MAIN STREET,Government - State/ County,8452912330,Yes,Yes,Yes,Yes,Yes,Yes,1968-03-28 00:00:00,2.0,48,75.5,96.1,99.6,99.2,48.2,51.8,99.2,97.5,98.0,95.4,53.4,34.0,55.2,66.2,62.6,48.3,23.8,6.7,Worse Than Expected,Same As Expected,1,0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,0.0,34276,267,535,41.4026844,-74.3213816,43,59,29,62,28,46,13,90,90,87,66,189,3690,34276,71,36,12100
167020,KEOKUK AREA HOSPITAL HOME HEALTH CARE,IA,KEOKUK,52632,1600 MORGAN STREET,Non - Profit Private,3195246293,Yes,Yes,No,Yes,Yes,Yes,1967-05-09 00:00:00,3.5,49,99.0,98.0,100.0,100.0,76.6,84.0,100.0,100.0,100.0,100.0,72.7,59.4,69.5,74.7,57.3,34.6,22.9,12.9,Same As Expected,Same As Expected,1,1,1.0,0.0,3.5,0.0,0.0,0.0,4.5,0.0,0.0,26056,389,623,40.406948,-91.3881965,75,46,101,46,42,79,50,110,96,80,115,172,4524,26056,111,19,490700
237605,OMNI HOME CARE,MI,FARMINGTON HILLS,48334,"28116 ORCHARD LAKE ROAD, STE 100",Proprietary,7348624000,Yes,Yes,Yes,Yes,Yes,Yes,2006-06-27 00:00:00,3.5,10,95.4,97.5,99.1,99.5,59.7,52.1,98.7,99.7,99.6,99.2,68.3,60.6,76.0,62.2,68.5,65.0,15.2,12.7,Same As Expected,Same As Expected,1,1,18.75,0.0,0.66,0.19,0.05,1.75,6.44,0.2,0.0,28251,342,640,42.5022377,-83.3578286,42,40,40,105,67,48,49,46,210,76,102,157,3632,28251,125,26,166600
157599,HEARTS WITH INTEGRITY,IN,HARTFORD CITY,47348,603 E NORTH STREET,Proprietary,7653478110,Yes,Yes,Yes,Yes,Yes,Yes,2008-07-30 00:00:00,3.5,8,96.7,98.5,100.0,100.0,73.5,82.7,99.5,100.0,100.0,100.0,74.0,73.8,67.2,62.1,45.2,58.1,13.1,20.8,Same As Expected,Same As Expected,1,1,6.0,0.0,8.0,0.1,0.5,1.5,4.2,1.0,0.1,23256,235,322,40.457414,-85.361634,64,39,48,41,20,23,32,56,109,52,49,24,2515,23256,9,18,975200
427030,VNA OF GREATER BAMBERG,SC,BAMBERG,29003,923 MIDWAY ST PO BOX 1048,Non - Profit Private,8032455611,Yes,Yes,No,Yes,No,Yes,1984-08-13 00:00:00,3.0,32,96.9,98.1,98.5,99.4,66.8,64.6,98.2,99.9,99.0,97.3,62.7,57.2,65.3,57.5,82.4,56.6,18.8,17.4,Same As Expected,Same As Expected,1,1,7.5,0.0,3.0,0.0,0.0,4.0,11.5,0.0,0.5,20281,429,832,33.2944866,-81.030793,111,47,33,68,87,83,137,242,82,161,54,156,7026,20281,9,45,960200
677887,COUNTRY HOME CARE,TX,CLARKSVILLE,75426,1505 W MAIN ST,Proprietary,9034278366,Yes,Yes,Yes,Yes,Yes,Yes,2006-03-17 00:00:00,4.0,10,96.9,93.5,100.0,99.2,64.4,75.6,100.0,100.0,100.0,100.0,87.0,74.2,84.9,57.8,73.1,76.7,8.0,1.1,Same As Expected,Same As Expected,1,1,1.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,16452,492,647,33.610061,-95.0637752,56,164,134,75,21,42,65,127,207,51,44,153,4726,16452,387,48,950500
187023,BREATHITT COUNTY HHA,KY,JACKSON,41339,955 HIGHWAY 30 WEST,Government - State/ County,6066668052,Yes,Yes,No,No,No,Yes,1969-02-14 00:00:00,2.0,47,94.4,48.6,99.5,97.6,44.7,43.0,99.6,98.1,96.2,96.0,45.5,56.3,52.6,49.9,70.9,34.4,23.6,13.5,Same As Expected,Same As Expected,1,1,5.0,0.0,10.0,0.0,0.0,0.25,10.5,0.0,0.0,14066,86,113,37.6335877,-83.1632867,25,10,21,22,0,8,11,5,41,32,10,14,1461,14066,25,21,920400
109287,ANGELS TOUCH HOME HEALTH INC,FL,MIAMI,33176,10691 N KENDALL DR STE 110,Proprietary,7863088888,Yes,Yes,Yes,Yes,No,Yes,2009-02-05 00:00:00,4.5,7,100.0,100.0,100.0,95.5,71.1,87.1,95.7,76.9,30.0,91.4,63.4,84.9,89.7,83.0,89.2,72.3,20.4,8.9,Same As Expected,Same As Expected,1,1,0.0,0.0,0.1,0.75,0.0,0.0,1.0,0.0,0.0,21269,278,378,25.6885959,-80.3653427,31,16,83,70,61,17,16,16,165,40,88,53,5299,21269,86,12,8419
157574,CARESS HEALTH CARE SERVICES INC,IN,HIGHLAND,46322,3125 45TH ST,Proprietary,2199248830,Yes,Yes,Yes,Yes,Yes,Yes,2006-07-07 00:00:00,4.5,10,99.6,98.8,99.5,100.0,70.7,70.1,100.0,100.0,100.0,99.6,68.5,100.0,81.7,92.9,75.8,54.8,12.5,12.2,Same As Expected,Same As Expected,1,1,0.0,0.0,3.0,0.0,0.0,0.5,6.0,0.5,0.0,29065,316,486,41.5377027,-87.4528998,27,38,75,80,66,30,81,77,90,114,81,43,4080,29065,89,18,40802
239276,MICHIGAN PREMIER HOME CARE AND HOSPICE,MI,WEST BRANCH,48661,"312 EAST HOUGHTON AVENUE, STE B",Proprietary,9893450033,Yes,Yes,No,No,No,No,2013-04-09 00:00:00,3.0,3,89.5,100.0,99.3,98.2,82.4,76.7,99.4,100.0,99.2,98.2,63.3,59.3,65.7,55.3,52.5,45.5,18.1,13.3,Same As Expected,Same As Expected,1,1,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,20948,339,594,44.2762531,-84.2324898,52,39,84,71,40,53,101,67,111,89,118,108,4292,20948,129,26,950500
507119,SUNSHINE HOME HEALTH CARE,WA,SPOKANE,99206,919 SOUTH RAYMOND ROAD,Proprietary,5093219050,Yes,Yes,Yes,Yes,Yes,Yes,2010-06-25 00:00:00,3.5,6,95.8,91.8,97.5,99.6,77.1,84.2,99.8,99.8,99.2,99.2,65.5,68.1,68.6,61.7,68.4,54.8,14.2,12.9,Same As Expected,Same As Expected,1,1,5.0,0.0,1.0,0.0,1.5,1.5,2.5,0.5,1.0,20371,186,341,47.648216,-117.2642372,43,15,32,54,18,24,23,54,49,84,66,65,3545,20371,63,53,12500
427304,AMEDISYS HOME HEALTH OF BEAUFORT,SC,BEAUFORT,29902,2121 BOUNDARY STREET SUITE 200,Proprietary,8433792320,Yes,Yes,Yes,Yes,Yes,Yes,2003-07-01 00:00:00,3.5,13,95.0,98.1,98.4,96.6,41.2,49.7,98.9,98.0,100.0,100.0,72.0,68.3,79.8,79.2,80.3,66.4,20.0,11.6,Same As Expected,Same As Expected,1,1,7.0,0.0,1.0,2.5,3.0,7.0,15.5,2.0,2.0,20303,185,186,32.4430843,-80.6904903,53,45,45,32,5,5,6,78,54,20,5,23,2464,20303,13,45,600
239257,PHENOMENAL HOME HEALTH CARE,MI,DETROIT,48201,"2727 SECOND AVE, SUITE 121",Proprietary,3139746480,Yes,Yes,Yes,Yes,Yes,Yes,2012-09-05 00:00:00,2.5,4,78.9,95.1,100.0,97.9,72.6,71.1,98.6,100.0,99.1,93.7,57.2,43.0,51.2,78.3,51.4,37.4,15.2,14.4,Same As Expected,Same As Expected,1,1,0.0,0.0,0.25,0.0,0.5,0.5,1.0,0.0,0.0,13339,169,62,42.340013,-83.0616624,49,30,46,27,12,5,11,10,0,0,27,14,1656,13339,163,26,522500
37278,VITAL WELLNESS HOME HEALTH,AZ,SUN CITY,85373,"10451 WEST PALMERAS DRIVE, SUITE 114E",Proprietary,6239331896,Yes,Yes,Yes,Yes,Yes,Yes,2010-04-16 00:00:00,4.0,6,79.8,100.0,100.0,100.0,69.7,80.5,100.0,99.0,100.0,100.0,69.9,65.4,78.9,86.0,72.1,44.8,11.5,12.3,Worse Than Expected,Same As Expected,1,0,0.0,0.0,1.0,0.0,0.5,2.0,2.5,0.25,0.25,27565,1496,2296,33.6406767,-112.2801302,72,277,278,278,274,317,110,322,614,378,347,525,7053,27565,13,4,617400
108101,A PLUS HOME HEALTH CARE INC,FL,LANTANA,33462,1111 HYPOLUXO RD STE 107,Proprietary,5615863400,Yes,Yes,Yes,Yes,Yes,Yes,2004-10-05 00:00:00,3.0,11,93.8,86.0,99.5,99.0,77.3,70.5,98.1,90.7,98.9,100.0,55.6,57.6,69.3,71.4,71.9,59.0,17.1,8.0,Better Than Expected,Same As Expected,1,1,0.0,0.0,0.0,4.0,0.0,4.5,15.0,2.0,2.0,21226,398,371,26.572609,-80.060736,163,45,115,32,0,43,72,90,61,64,58,26,6282,21226,99,12,5502
678058,PATHFINDER HOME HEALTH,TX,SPRING,77386,24800 PITKIN RD SUITE B,Proprietary,2813649161,Yes,Yes,Yes,Yes,Yes,Yes,1995-10-13 00:00:00,2.0,20,91.3,93.3,99.7,95.2,43.3,55.4,97.9,99.1,95.8,98.1,46.6,49.7,56.2,29.5,28.3,33.9,15.7,14.6,Same As Expected,Same As Expected,1,1,0.5,0.0,2.5,3.5,0.5,2.0,9.0,0.5,0.5,27861,159,303,30.1223974,-95.4385681,7,80,16,37,19,0,40,92,33,51,65,22,6111,27861,339,48,691900
